"year_added","content_added_count","previous_year_content_count","content_added_count_growth_from_previous_year","percentage_growth"
"2008","2","","",""
"2009","2","2","0","0.00"
"2010","1","2","-1","-50.00"
"2011","13","1","12","1200.00"
"2012","3","13","-10","-76.92"
"2013","11","3","8","266.67"
"2014","24","11","13","118.18"
"2015","82","24","58","241.67"
"2016","429","82","347","423.17"
"2017","1188","429","759","176.92"
"2018","1649","1188","461","38.80"
"2019","2016","1649","367","22.26"
"2020","1879","2016","-137","-6.80"
"2021","1498","1879","-381","-20.28"
