"year_added","genre","genre_content_count_for_year","rnk"
"2008","Thrillers","1","1"
"2008","Dramas","1","1"
"2008","Independent Movies","1","1"
"2008","Stand-Up Comedy & Talk Shows","1","1"
"2009","Dramas","1","1"
"2009","Horror Movies","1","1"
"2009","International Movies","1","1"
"2010","Horror Movies","1","1"
"2010","Cult Movies","1","1"
"2011","Dramas","13","1"
"2012","Comedies","2","1"
"2013","Stand-Up Comedy","4","1"
"2013","TV Dramas","4","1"
"2014","Documentaries","8","1"
"2015","Documentaries","13","1"
"2015","Stand-Up Comedy","13","1"
"2016","International TV Shows","86","1"
"2017","International Movies","395","1"
"2018","International Movies","668","1"
"2019","International Movies","610","1"
"2020","International Movies","575","1"
"2021","Dramas","412","1"
