"type","individual_director","content_count","director_rnk"
"Movie","Rajiv Chilaka","22","1"
"Movie","Jan Suter","21","2"
"Movie","Raúl Campos","19","3"
"Movie","Suhas Kadav","16","4"
"Movie","Jay Karas","15","5"
"Movie","Marcus Raboy","15","5"
"TV Show","Alastair Fothergill","3","1"
"TV Show","Ken Burns","3","1"
"TV Show","Hsu Fu-chun","2","2"
"TV Show","Iginio Straffi","2","2"
"TV Show","Gautham Vasudev Menon","2","2"
"TV Show","Joe Berlinger","2","2"
"TV Show","Lynn Novick","2","2"
"TV Show","Jung-ah Im","2","2"
"TV Show","Rob Seidenglanz","2","2"
"TV Show","Stan Lathan","2","2"
"TV Show","Shin Won-ho","2","2"
"TV Show","Weica Wang","1","3"
"TV Show","Pantham Thongsang","1","3"
"TV Show","Shen Chi","1","3"
"TV Show","Maribel Sánchez-Maroto","1","3"
"TV Show","Jaime Rayo","1","3"
"TV Show","John Dower","1","3"
"TV Show","Ryan Polito","1","3"
"TV Show","Pedro Waddington","1","3"
"TV Show","Rebecca Chaiklin","1","3"
"TV Show","Patrick Graham","1","3"
"TV Show","Jeon Go-woon","1","3"
"TV Show","Jared Hess","1","3"
"TV Show","Trey Borzillieri","1","3"
"TV Show","Gary Sing","1","3"
"TV Show","Michel Tikhomiroff","1","3"
"TV Show","Oscar Micheaux","1","3"
"TV Show","Ali Kalthami","1","3"
"TV Show","Jesse Vile","1","3"
"TV Show","David Schalko","1","3"
"TV Show","Cai Cong","1","3"
"TV Show","Tony Collingwood","1","3"
"TV Show","Kiko Cruz Claverol","1","3"
"TV Show","Manolo Caro","1","3"
"TV Show","Miguel Conde","1","3"
"TV Show","Stefano Lodovichi","1","3"
"TV Show","Eric Abrams","1","3"
"TV Show","Chen Hung-yi","1","3"
"TV Show","Sion Sono","1","3"
"TV Show","Barbara Schroeder","1","3"
"TV Show","DJ Chen","1","3"
"TV Show","Oliver Stone","1","3"
"TV Show","Everardo Gout","1","3"
"TV Show","Marc Pons","1","3"
"TV Show","Sivaroj Kongsakul","1","3"
"TV Show","Hikaru Toda","1","3"
"TV Show","Lai Chun-yu","1","3"
"TV Show","Pali Yahya","1","3"
"TV Show","Ahmet Katıksız","1","3"
"TV Show","Kobun Shizuno","1","3"
"TV Show","Richard Maurice","1","3"
"TV Show","Noam Murro","1","3"
"TV Show","Jesse Warn","1","3"
"TV Show","Ange Basterga","1","3"
"TV Show","Hernán Guerschuny","1","3"
"TV Show","Carla Barros","1","3"
"TV Show","Julien Leclercq","1","3"
"TV Show","Rathindran R Prasad","1","3"
"TV Show","Adrien Lagier","1","3"
"TV Show","Vasan Bala","1","3"
